GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A00AA1830,A08AA1830,A08AB1830
"G0100010","1830","Alabama","01","010","Autauga County","001","0010","Autauga",11874,6263,5611
"G0100030","1830","Alabama","01","010","Baldwin County","003","0030","Baldwin",2324,1291,1033
"G0100070","1830","Alabama","01","010","Bibb County","007","0070","Bibb",6306,3241,3065
"G0100090","1830","Alabama","01","010","Blount County","009","0090","Blount",4233,2139,2094
"G0100130","1830","Alabama","01","010","Butler County","013","0130","Butler",5650,2875,2775
"G0100250","1830","Alabama","01","010","Clarke County","025","0250","Clarke",7595,3884,3711
"G0100350","1830","Alabama","01","010","Conecuh County","035","0350","Conecuh",7444,3874,3570
"G0100390","1830","Alabama","01","010","Covington County","039","0390","Covington",1522,803,719
"G0100450","1830","Alabama","01","010","Dale County","045","0450","Dale",2031,1070,961
"G0100470","1830","Alabama","01","010","Dallas County","047","0470","Dallas",14017,7291,6726
"G0100570","1830","Alabama","01","010","Fayette County","057","0570","Fayette",3547,1842,1705
"G0100590","1830","Alabama","01","010","Franklin County","059","0590","Franklin",11078,5754,5324
"G0100630","1830","Alabama","01","010","Greene County","063","0630","Greene",15026,7785,7241
"G0100670","1830","Alabama","01","010","Henry County","067","0670","Henry",4020,2078,1942
"G0100710","1830","Alabama","01","010","Jackson County","071","0710","Jackson",12700,6513,6187
"G0100730","1830","Alabama","01","010","Jefferson County","073","0730","Jefferson",6855,3526,3329
"G0100770","1830","Alabama","01","010","Lauderdale County","077","0770","Lauderdale",11781,6271,5510
"G0100790","1830","Alabama","01","010","Lawrence County","079","0790","Lawrence",14984,7800,7184
"G0100830","1830","Alabama","01","010","Limestone County","083","0830","Limestone",14807,7642,7165
"G0100850","1830","Alabama","01","010","Lowndes County","085","0850","Lowndes",9410,4855,4555
"G0100890","1830","Alabama","01","010","Madison County","089","0890","Madison",27990,14409,13581
"G0100910","1830","Alabama","01","010","Marengo County","091","0910","Marengo",7700,3950,3750
"G0100930","1830","Alabama","01","010","Marion County","093","0930","Marion",4058,2054,2004
"G0100970","1830","Alabama","01","010","Mobile County","097","0970","Mobile",6267,3572,2695
"G0100990","1830","Alabama","01","010","Monroe County","099","0990","Monroe",8782,4509,4273
"G0101010","1830","Alabama","01","010","Montgomery County","101","1010","Montgomery",12695,6637,6058
"G0101030","1830","Alabama","01","010","Morgan County","103","1030","Morgan",9062,4591,4471
"G0101050","1830","Alabama","01","010","Perry County","105","1050","Perry",11490,6061,5429
"G0101070","1830","Alabama","01","010","Pickens County","107","1070","Pickens",6622,3455,3167
"G0101090","1830","Alabama","01","010","Pike County","109","1090","Pike",7108,3714,3394
"G0101150","1830","Alabama","01","010","St. Clair County","115","1150","St Clair",5975,3110,2865
"G0101170","1830","Alabama","01","010","Shelby County","117","1170","Shelby",5704,2944,2760
"G0101250","1830","Alabama","01","010","Tuscaloosa County","125","1250","Tuscaloosa",13646,7147,6499
"G0101270","1830","Alabama","01","010","Walker County","127","1270","Walker",2202,1138,1064
"G0101290","1830","Alabama","01","010","Washington County","129","1290","Washington",3474,1818,1656
"G0101310","1830","Alabama","01","010","Wilcox County","131","1310","Wilcox",9548,4954,4594
"G0550015","1830","Arkansas Territory",,"055","Arkansas County",,"0015","Arkansas",1426,806,620
"G0550035","1830","Arkansas Territory",,"055","Chicot County",,"0035","Chicot",1165,645,520
"G0550055","1830","Arkansas Territory",,"055","Clark County",,"0055","Clark",1369,724,645
"G0550075","1830","Arkansas Territory",,"055","Conway County",,"0075","Conway",982,538,444
"G0550095","1830","Arkansas Territory",,"055","Crawford County",,"0095","Crawford",2440,1351,1089
"G0550115","1830","Arkansas Territory",,"055","Crittenden County",,"0115","Crittenden",1272,798,474
"G0550135","1830","Arkansas Territory",,"055","Hempstead County",,"0135","Hempstead",2512,1336,1176
"G0550155","1830","Arkansas Territory",,"055","Hot Spring County",,"0155","Hot Spring",458,265,193
"G0550175","1830","Arkansas Territory",,"055","Independence County",,"0175","Independence",2031,1093,938
"G0550195","1830","Arkansas Territory",,"055","Izard County",,"0195","Izard",1266,662,604
"G0550215","1830","Arkansas Territory",,"055","Jackson County",,"0215","Jackson",333,177,156
"G0550235","1830","Arkansas Territory",,"055","Jefferson County",,"0235","Jefferson",772,430,342
"G0550255","1830","Arkansas Territory",,"055","Lafayette County",,"0255","Lafayette",748,418,330
"G0550275","1830","Arkansas Territory",,"055","Lawrence County",,"0275","Lawrence",2806,1476,1330
"G0550295","1830","Arkansas Territory",,"055","Miller County",,"0295","Miller",356,200,156
"G0550315","1830","Arkansas Territory",,"055","Monroe County",,"0315","Monroe",461,246,215
"G0550335","1830","Arkansas Territory",,"055","Phillips County",,"0335","Phillips",1152,640,512
"G0550355","1830","Arkansas Territory",,"055","Pope County",,"0355","Pope",1483,799,684
"G0550375","1830","Arkansas Territory",,"055","Pulaski County",,"0375","Pulaski",2395,1299,1096
"G0550395","1830","Arkansas Territory",,"055","St Francis County",,"0395","St Francis",1505,823,682
"G0550415","1830","Arkansas Territory",,"055","Sevier County",,"0415","Sevier",634,320,314
"G0550435","1830","Arkansas Territory",,"055","Union County",,"0435","Union",640,362,278
"G0550455","1830","Arkansas Territory",,"055","Washington County",,"0455","Washington",2182,1168,1014
"G0900010","1830","Connecticut","09","090","Fairfield County","001","0010","Fairfield",47010,23419,23591
"G0900030","1830","Connecticut","09","090","Hartford County","003","0030","Hartford",51131,25369,25762
"G0900050","1830","Connecticut","09","090","Litchfield County","005","0050","Litchfield",42858,21464,21394
"G0900070","1830","Connecticut","09","090","Middlesex County","007","0070","Middlesex",24844,12013,12831
"G0900090","1830","Connecticut","09","090","New Haven County","009","0090","New Haven",43847,21639,22208
"G0900110","1830","Connecticut","09","090","New London County","011","0110","New London",42201,20700,21501
"G0900130","1830","Connecticut","09","090","Tolland County","013","0130","Tolland",18702,9127,9575
"G0900150","1830","Connecticut","09","090","Windham County","015","0150","Windham",27082,13174,13908
"G1000010","1830","Delaware","10","100","Kent County","001","0010","Kent",19913,10045,9868
"G1000030","1830","Delaware","10","100","New Castle County","003","0030","New Castle",29720,14894,14826
"G1000050","1830","Delaware","10","100","Sussex County","005","0050","Sussex",27115,13594,13521
"G1100005","1830","District Of Columbia","11","110","Alexandria",,"0005","Alexandria",8241,3699,4542
"G1100017","1830","District Of Columbia","11","110","Georgetown",,"0017","Georgetown",8441,4063,4378
"G1100035","1830","District Of Columbia","11","110","Rural Alexandria County",,"0035","Rural Alexandria County",1332,656,676
"G1100075","1830","District Of Columbia","11","110","Rural Washington county",,"0075","Rural Washington county",2994,1784,1210
"G1100115","1830","District Of Columbia","11","110","Washington City",,"0115","Washington City",18826,8942,9884
"G1250015","1830","Florida Territory",,"125","Alachua County",,"0015","Alachua",2204,1207,997
"G1250075","1830","Florida Territory",,"125","Duval County",,"0075","Duval",1970,1043,927
"G1250095","1830","Florida Territory",,"125","Escambia County",,"0095","Escambia",2518,1359,1159
"G1250097","1830","Florida Territory",,"125","Escambia (part) and Walton (part)",,"0097","Escambia (part) and Walton (part)",868,520,348
"G1250135","1830","Florida Territory",,"125","Gadsden County",,"0135","Gadsden",4895,2561,2334
"G1250155","1830","Florida Territory",,"125","Hamilton County",,"0155","Hamilton",553,284,269
"G1250195","1830","Florida Territory",,"125","Jackson County",,"0195","Jackson",3907,2162,1745
"G1250215","1830","Florida Territory",,"125","Jefferson County",,"0215","Jefferson",3312,1806,1506
"G1250235","1830","Florida Territory",,"125","Leon County",,"0235","Leon",6494,3483,3011
"G1250255","1830","Florida Territory",,"125","Madison County",,"0255","Madison",525,271,254
"G1250275","1830","Florida Territory",,"125","Monroe County",,"0275","Monroe",517,356,161
"G1250295","1830","Florida Territory",,"125","Mosquito County",,"0295","Mosquito",733,388,345
"G1250315","1830","Florida Territory",,"125","Nassau County",,"0315","Nassau",1511,779,732
"G1250355","1830","Florida Territory",,"125","St Johns County",,"0355","St Johns",2538,1257,1281
"G1250375","1830","Florida Territory",,"125","Walton County",,"0375","Walton",1207,628,579
"G1250395","1830","Florida Territory",,"125","Washington County",,"0395","Washington",978,500,478
"G1300010","1830","Georgia","13","130","Appling County","001","0010","Appling",1468,745,723
"G1300070","1830","Georgia","13","130","Baker County","007","0070","Baker",1253,634,619
"G1300090","1830","Georgia","13","130","Baldwin County","009","0090","Baldwin",7295,3838,3457
"G1300210","1830","Georgia","13","130","Bibb County","021","0210","Bibb",7154,3884,3270
"G1300290","1830","Georgia","13","130","Bryan County","029","0290","Bryan",3139,1564,1575
"G1300310","1830","Georgia","13","130","Bulloch County","031","0310","Bulloch",2587,1329,1258
"G1300330","1830","Georgia","13","130","Burke County","033","0330","Burke",11833,6051,5782
"G1300350","1830","Georgia","13","130","Butts County","035","0350","Butts",4944,2532,2412
"G1300390","1830","Georgia","13","130","Camden County","039","0390","Camden",4578,2295,2283
"G1300395","1830","Georgia","13","130","Campbell County",,"0395","Campbell",3323,1735,1588
"G1300450","1830","Georgia","13","130","Carroll County","045","0450","Carroll",3419,1785,1634
"G1300510","1830","Georgia","13","130","Chatham County","051","0510","Chatham",14127,6929,7198
"G1300590","1830","Georgia","13","130","Clarke County","059","0590","Clarke",10176,5051,5125
"G1300730","1830","Georgia","13","130","Columbia County","073","0730","Columbia",12606,6408,6198
"G1300770","1830","Georgia","13","130","Coweta County","077","0770","Coweta",5003,2604,2399
"G1300790","1830","Georgia","13","130","Crawford County","079","0790","Crawford",5313,2787,2526
"G1300870","1830","Georgia","13","130","Decatur County","087","0870","Decatur",3854,2019,1835
"G1300890","1830","Georgia","13","130","DeKalb County","089","0890","De Kalb",10042,5080,4962
"G1300930","1830","Georgia","13","130","Dooly County","093","0930","Dooly",2135,1085,1050
"G1300990","1830","Georgia","13","130","Early County","099","0990","Early",2051,1025,1026
"G1301030","1830","Georgia","13","130","Effingham County","103","1030","Effingham",2924,1535,1389
"G1301050","1830","Georgia","13","130","Elbert County","105","1050","Elbert",12354,6218,6136
"G1301070","1830","Georgia","13","130","Emanuel County","107","1070","Emanuel",2673,1326,1347
"G1301130","1830","Georgia","13","130","Fayette County","113","1130","Fayette",5504,2789,2715
"G1301190","1830","Georgia","13","130","Franklin County","119","1190","Franklin",10107,5063,5044
"G1301270","1830","Georgia","13","130","Glynn County","127","1270","Glynn",4567,2332,2235
"G1301330","1830","Georgia","13","130","Greene County","133","1330","Greene",12549,6450,6099
"G1301350","1830","Georgia","13","130","Gwinnett County","135","1350","Gwinnett",13289,6796,6493
"G1301370","1830","Georgia","13","130","Habersham County","137","1370","Habersham",10671,5503,5168
"G1301390","1830","Georgia","13","130","Hall County","139","1390","Hall",11748,5900,5848
"G1301410","1830","Georgia","13","130","Hancock County","141","1410","Hancock",11820,6045,5775
"G1301450","1830","Georgia","13","130","Harris County","145","1450","Harris",5105,2707,2398
"G1301510","1830","Georgia","13","130","Henry County","151","1510","Henry",10566,5307,5259
"G1301530","1830","Georgia","13","130","Houston County","153","1530","Houston",7369,3745,3624
"G1301550","1830","Georgia","13","130","Irwin County","155","1550","Irwin",1180,607,573
"G1301570","1830","Georgia","13","130","Jackson County","157","1570","Jackson",9004,4545,4459
"G1301590","1830","Georgia","13","130","Jasper County","159","1590","Jasper",13131,6728,6403
"G1301630","1830","Georgia","13","130","Jefferson County","163","1630","Jefferson",7309,3662,3647
"G1301690","1830","Georgia","13","130","Jones County","169","1690","Jones",13345,6847,6498
"G1301750","1830","Georgia","13","130","Laurens County","175","1750","Laurens",5589,2814,2775
"G1301770","1830","Georgia","13","130","Lee County","177","1770","Lee",1680,886,794
"G1301790","1830","Georgia","13","130","Liberty County","179","1790","Liberty",7233,3580,3653
"G1301810","1830","Georgia","13","130","Lincoln County","181","1810","Lincoln",6145,3107,3038
"G1301850","1830","Georgia","13","130","Lowndes County","185","1850","Lowndes",2453,1228,1225
"G1301910","1830","Georgia","13","130","McIntosh County","191","1910","Mcintosh",4998,2534,2464
"G1301950","1830","Georgia","13","130","Madison County","195","1950","Madison",4646,2279,2367
"G1301970","1830","Georgia","13","130","Marion County","197","1970","Marion",1436,742,694
"G1301990","1830","Georgia","13","130","Meriwether County","199","1990","Meriwether",4422,2340,2082
"G1302070","1830","Georgia","13","130","Monroe County","207","2070","Monroe",16202,8205,7997
"G1302090","1830","Georgia","13","130","Montgomery County","209","2090","Montgomery",1269,642,627
"G1302110","1830","Georgia","13","130","Morgan County","211","2110","Morgan",12046,6298,5748
"G1302150","1830","Georgia","13","130","Muscogee County","215","2150","Muscogee",3508,1952,1556
"G1302170","1830","Georgia","13","130","Newton County","217","2170","Newton",11155,5663,5492
"G1302210","1830","Georgia","13","130","Oglethorpe County","221","2210","Oglethorpe",13618,6962,6656
"G1302310","1830","Georgia","13","130","Pike County","231","2310","Pike",6149,3074,3075
"G1302350","1830","Georgia","13","130","Pulaski County","235","2350","Pulaski",4906,2530,2376
"G1302370","1830","Georgia","13","130","Putnam County","237","2370","Putnam",13261,6746,6515
"G1302410","1830","Georgia","13","130","Rabun County","241","2410","Rabun",2176,1109,1067
"G1302430","1830","Georgia","13","130","Randolph County","243","2430","Randolph",2191,1162,1029
"G1302450","1830","Georgia","13","130","Richmond County","245","2450","Richmond",11644,5966,5678
"G1302510","1830","Georgia","13","130","Screven County","251","2510","Screven",4776,2407,2369
"G1302630","1830","Georgia","13","130","Talbot County","263","2630","Talbot",5940,3063,2877
"G1302650","1830","Georgia","13","130","Taliaferro County","265","2650","Taliaferro",4934,2508,2426
"G1302670","1830","Georgia","13","130","Tattnall County","267","2670","Tattnall",2040,1026,1014
"G1302710","1830","Georgia","13","130","Telfair County","271","2710","Telfair",2136,1098,1038
"G1302750","1830","Georgia","13","130","Thomas County","275","2750","Thomas",3299,1710,1589
"G1302850","1830","Georgia","13","130","Troup County","285","2850","Troup",5799,2966,2833
"G1302890","1830","Georgia","13","130","Twiggs County","289","2890","Twiggs",8031,4100,3931
"G1302930","1830","Georgia","13","130","Upson County","293","2930","Upson",7013,3582,3431
"G1302970","1830","Georgia","13","130","Walton County","297","2970","Walton",10929,5462,5467
"G1302990","1830","Georgia","13","130","Ware County","299","2990","Ware",1205,625,580
"G1303010","1830","Georgia","13","130","Warren County","301","3010","Warren",10946,5525,5421
"G1303030","1830","Georgia","13","130","Washington County","303","3030","Washington",9820,4980,4840
"G1303050","1830","Georgia","13","130","Wayne County","305","3050","Wayne",963,468,495
"G1303170","1830","Georgia","13","130","Wilkes County","317","3170","Wilkes",14237,7184,7053
"G1303190","1830","Georgia","13","130","Wilkinson County","319","3190","Wilkinson",6513,3358,3155
"G1700010","1830","Illinois","17","170","Adams County","001","0010","Adams",2186,1197,989
"G1700030","1830","Illinois","17","170","Alexander County","003","0030","Alexander",1390,728,662
"G1700050","1830","Illinois","17","170","Bond County","005","0050","Bond",3124,1628,1496
"G1700130","1830","Illinois","17","170","Calhoun County","013","0130","Calhoun",1090,679,411
"G1700230","1830","Illinois","17","170","Clark County","023","0230","Clark",3940,2081,1859
"G1700250","1830","Illinois","17","170","Clay County","025","0250","Clay",755,389,366
"G1700270","1830","Illinois","17","170","Clinton County","027","0270","Clinton",2330,1260,1070
"G1700330","1830","Illinois","17","170","Crawford County","033","0330","Crawford",3117,1608,1509
"G1700450","1830","Illinois","17","170","Edgar County","045","0450","Edgar",4071,2129,1942
"G1700470","1830","Illinois","17","170","Edwards County","047","0470","Edwards",1649,880,769
"G1700510","1830","Illinois","17","170","Fayette County","051","0510","Fayette",2704,1406,1298
"G1700550","1830","Illinois","17","170","Franklin County","055","0550","Franklin",4083,2097,1986
"G1700570","1830","Illinois","17","170","Fulton County","057","0570","Fulton",1841,996,845
"G1700590","1830","Illinois","17","170","Gallatin County","059","0590","Gallatin",7405,3878,3527
"G1700610","1830","Illinois","17","170","Greene County","061","0610","Greene",7674,4051,3623
"G1700650","1830","Illinois","17","170","Hamilton County","065","0650","Hamilton",2616,1382,1234
"G1700670","1830","Illinois","17","170","Hancock County","067","0670","Hancock",483,264,219
"G1700730","1830","Illinois","17","170","Henry County","073","0730","Henry",41,19,22
"G1700770","1830","Illinois","17","170","Jackson County","077","0770","Jackson",1828,970,858
"G1700810","1830","Illinois","17","170","Jefferson County","081","0810","Jefferson",2555,1307,1248
"G1700850","1830","Illinois","17","170","Jo Daviess County","085","0850","Jo Daviess",2111,1407,704
"G1700870","1830","Illinois","17","170","Johnson County","087","0870","Johnson",1596,878,718
"G1700950","1830","Illinois","17","170","Knox County","095","0950","Knox",274,148,126
"G1701010","1830","Illinois","17","170","Lawrence County","101","1010","Lawrence",3668,1926,1742
"G1701150","1830","Illinois","17","170","Macon County","115","1150","Macon",1122,602,520
"G1701170","1830","Illinois","17","170","Macoupin County","117","1170","Macoupin",1990,1049,941
"G1701190","1830","Illinois","17","170","Madison County","119","1190","Madison",6221,3336,2885
"G1701210","1830","Illinois","17","170","Marion County","121","1210","Marion",2125,1094,1031
"G1701310","1830","Illinois","17","170","Mercer County","131","1310","Mercer",26,15,11
"G1701330","1830","Illinois","17","170","Monroe County","133","1330","Monroe",2000,1113,887
"G1701350","1830","Illinois","17","170","Montgomery County","135","1350","Montgomery",2953,1570,1383
"G1701370","1830","Illinois","17","170","Morgan County","137","1370","Morgan",12714,6605,6109
"G1701450","1830","Illinois","17","170","Perry County","145","1450","Perry",1215,628,587
"G1701490","1830","Illinois","17","170","Pike County","149","1490","Pike",2396,1330,1066
"G1701510","1830","Illinois","17","170","Pope County","151","1510","Pope",3316,1678,1638
"G1701550","1830","Illinois","17","170","Putnam County","155","1550","Putnam",1310,807,503
"G1701570","1830","Illinois","17","170","Randolph County","157","1570","Randolph",4429,2326,2103
"G1701630","1830","Illinois","17","170","St. Clair County","163","1630","St Clair",7078,3776,3302
"G1701670","1830","Illinois","17","170","Sangamon County","167","1670","Sangamon",12960,6619,6341
"G1701690","1830","Illinois","17","170","Schuyler County","169","1690","Schuyler",2959,1550,1409
"G1701730","1830","Illinois","17","170","Shelby County","173","1730","Shelby",2972,1542,1430
"G1701790","1830","Illinois","17","170","Tazewell County","179","1790","Tazewell",4716,2586,2130
"G1701810","1830","Illinois","17","170","Union County","181","1810","Union",3239,1683,1556
"G1701830","1830","Illinois","17","170","Vermilion County","183","1830","Vermilion",5836,2998,2838
"G1701850","1830","Illinois","17","170","Wabash County","185","1850","Wabash",2710,1378,1332
"G1701870","1830","Illinois","17","170","Warren County","187","1870","Warren",308,187,121
"G1701890","1830","Illinois","17","170","Washington County","189","1890","Washington",1675,888,787
"G1701910","1830","Illinois","17","170","Wayne County","191","1910","Wayne",2553,1360,1193
"G1701930","1830","Illinois","17","170","White County","193","1930","White",6091,3191,2900
"G1800030","1830","Indiana","18","180","Allen County","003","0030","Allen",996,568,428
"G1800050","1830","Indiana","18","180","Bartholomew County","005","0050","Bartholomew",5476,2810,2666
"G1800110","1830","Indiana","18","180","Boone County","011","0110","Boone",621,321,300
"G1800150","1830","Indiana","18","180","Carroll County","015","0150","Carroll",1611,879,732
"G1800170","1830","Indiana","18","180","Cass County","017","0170","Cass",1162,728,434
"G1800190","1830","Indiana","18","180","Clark County","019","0190","Clark",10686,5499,5187
"G1800210","1830","Indiana","18","180","Clay County","021","0210","Clay",1616,822,794
"G1800230","1830","Indiana","18","180","Clinton County","023","0230","Clinton",1423,766,657
"G1800250","1830","Indiana","18","180","Crawford County","025","0250","Crawford",3238,1676,1562
"G1800270","1830","Indiana","18","180","Daviess County","027","0270","Daviess",4543,2350,2193
"G1800290","1830","Indiana","18","180","Dearborn County","029","0290","Dearborn",13974,7259,6715
"G1800310","1830","Indiana","18","180","Decatur County","031","0310","Decatur",5887,2951,2936
"G1800350","1830","Indiana","18","180","Delaware County","035","0350","Delaware",2374,1236,1138
"G1800370","1830","Indiana","18","180","Dubois County","037","0370","Dubois",1778,936,842
"G1800390","1830","Indiana","18","180","Elkhart County","039","0390","Elkhart",935,513,422
"G1800410","1830","Indiana","18","180","Fayette County","041","0410","Fayette",9112,4683,4429
"G1800430","1830","Indiana","18","180","Floyd County","043","0430","Floyd",6361,3366,2995
"G1800450","1830","Indiana","18","180","Fountain County","045","0450","Fountain",7619,3993,3626
"G1800470","1830","Indiana","18","180","Franklin County","047","0470","Franklin",10190,5228,4962
"G1800510","1830","Indiana","18","180","Gibson County","051","0510","Gibson",5418,2789,2629
"G1800550","1830","Indiana","18","180","Greene County","055","0550","Greene",4242,2209,2033
"G1800570","1830","Indiana","18","180","Hamilton County","057","0570","Hamilton",1757,923,834
"G1800590","1830","Indiana","18","180","Hancock County","059","0590","Hancock",1436,726,710
"G1800610","1830","Indiana","18","180","Harrison County","061","0610","Harrison",10273,5121,5152
"G1800630","1830","Indiana","18","180","Hendricks County","063","0630","Hendricks",3975,2003,1972
"G1800650","1830","Indiana","18","180","Henry County","065","0650","Henry",6497,3339,3158
"G1800710","1830","Indiana","18","180","Jackson County","071","0710","Jackson",4870,2537,2333
"G1800770","1830","Indiana","18","180","Jefferson County","077","0770","Jefferson",11465,5901,5564
"G1800790","1830","Indiana","18","180","Jennings County","079","0790","Jennings",3974,2036,1938
"G1800810","1830","Indiana","18","180","Johnson County","081","0810","Johnson",4019,2107,1912
"G1800830","1830","Indiana","18","180","Knox County","083","0830","Knox",6525,3504,3021
"G1800930","1830","Indiana","18","180","Lawrence County","093","0930","Lawrence",9234,4793,4441
"G1800950","1830","Indiana","18","180","Madison County","095","0950","Madison",2238,1144,1094
"G1800970","1830","Indiana","18","180","Marion County","097","0970","Marion",7192,3697,3495
"G1801010","1830","Indiana","18","180","Martin County","101","1010","Martin",2010,1057,953
"G1801050","1830","Indiana","18","180","Monroe County","105","1050","Monroe",6577,3383,3194
"G1801070","1830","Indiana","18","180","Montgomery County","107","1070","Montgomery",7317,3820,3497
